 ========================================================================
 Mesh information:
 Nx = 101
 Ny =  21
  
 Slab / Billet dimensions:
 X(m) =       1.0000
 Y(m) =       0.2000
                                                                         
                                                                         
 ========================================================================
              Time(s)   Thickness in X(m)   Thickness in Y(m)
             382.0000              0.0658              0.0562
             384.0000              0.0658              0.0563
             386.0000              0.0659              0.0563
             388.0000              0.0660              0.0564
             390.0000              0.0661              0.0565
             392.0000              0.0662              0.0565
             394.0000              0.0663              0.0566
             396.0000              0.0665              0.0567
             398.0000              0.0667              0.0568
             400.0000              0.0670              0.0569
             402.0000              0.0673              0.0570
             404.0000              0.0677              0.0571
             406.0000              0.0682              0.0573
             408.0000              0.0690              0.0574
             410.0000              0.0700              0.0576
             412.0000              0.0702              0.0577
             414.0000              0.0704              0.0579
             416.0000              0.0706              0.0582
             418.0000              0.0707              0.0584
             420.0000              0.0708              0.0587
             422.0000              0.0708              0.0590
             424.0000              0.0709              0.0594
             426.0000              0.0710              0.0598
             428.0000              0.0711              0.0600
             430.0000              0.0712              0.0601
             432.0000              0.0714              0.0602
             434.0000              0.0716              0.0603
             436.0000              0.0718              0.0604
             438.0000              0.0721              0.0605
             440.0000              0.0725              0.0606
             442.0000              0.0730              0.0607
             444.0000              0.0737              0.0608
             446.0000              0.0748              0.0609
             448.0000              0.0752              0.0610
             450.0000              0.0753              0.0611
             452.0000              0.0755              0.0611
             454.0000              0.0757              0.0612
             456.0000              0.0758              0.0612
             458.0000              0.0758              0.0613
             460.0000              0.0759              0.0613
             462.0000              0.0760              0.0614
             464.0000              0.0761              0.0614
             466.0000              0.0763              0.0615
             468.0000              0.0765              0.0616
             470.0000              0.0767              0.0617
             472.0000              0.0769              0.0617
             474.0000              0.0773              0.0618
             476.0000              0.0777              0.0619
             478.0000              0.0784              0.0620
             480.0000              0.0793              0.0621
             482.0000              0.0801              0.0622
             484.0000              0.0803              0.0624
             486.0000              0.0805              0.0625
             488.0000              0.0807              0.0627
             490.0000              0.0808              0.0628
             492.0000              0.0808              0.0630
             494.0000              0.0809              0.0632
             496.0000              0.0810              0.0635
             498.0000              0.0812              0.0637
             500.0000              0.0813              0.0640
             502.0000              0.0815              0.0643
             504.0000              0.0817              0.0647
             506.0000              0.0820              0.0650
             508.0000              0.0824              0.0651
             510.0000              0.0830              0.0652
             512.0000              0.0838              0.0653
             514.0000              0.0850              0.0654
             516.0000              0.0852              0.0655
             518.0000              0.0854              0.0656
             520.0000              0.0857              0.0656
             522.0000              0.0858              0.0657
             524.0000              0.0858              0.0658
             526.0000              0.0859              0.0659
             528.0000              0.0860              0.0660
             530.0000              0.0862              0.0661
             532.0000              0.0863              0.0662
             534.0000              0.0865              0.0662
             536.0000              0.0868              0.0663
             538.0000              0.0871              0.0663
             540.0000              0.0876              0.0664
             542.0000              0.0882              0.0664
             544.0000              0.0892              0.0665
             546.0000              0.0901              0.0666
             548.0000              0.0903              0.0666
             550.0000              0.0906              0.0667
             552.0000              0.0908              0.0668
             554.0000              0.0908              0.0669
             556.0000              0.0909              0.0670
             558.0000              0.0910              0.0671
             560.0000              0.0912              0.0672
             562.0000              0.0913              0.0673
             564.0000              0.0916              0.0674
             566.0000              0.0918              0.0675
             568.0000              0.0922              0.0677
             570.0000              0.0927              0.0678
             572.0000              0.0934              0.0680
             574.0000              0.0946              0.0682
             576.0000              0.0952              0.0684
             578.0000              0.0954              0.0686
             580.0000              0.0957              0.0689
             582.0000              0.0958              0.0692
             584.0000              0.0959              0.0695
             586.0000              0.0960              0.0698
             588.0000              0.0961              0.0701
             590.0000              0.0963              0.0701
             592.0000              0.0965              0.0702
             594.0000              0.0968              0.0703
             596.0000              0.0972              0.0704
             598.0000              0.0977              0.0705
             600.0000              0.0985              0.0706
             602.0000              0.0998              0.0707
             604.0000              0.1002              0.0707
             606.0000              0.1005              0.0708
             608.0000              0.1008              0.0709
             610.0000              0.1009              0.0710
             612.0000              0.1010              0.0711
             614.0000              0.1011              0.0712
             616.0000              0.1013              0.0713
             618.0000              0.1015              0.0713
             620.0000              0.1017              0.0714
             622.0000              0.1021              0.0714
             624.0000              0.1026              0.0715
             626.0000              0.1034              0.0715
             628.0000              0.1046              0.0716
             630.0000              0.1052              0.0717
             632.0000              0.1055              0.0717
             634.0000              0.1058              0.0718
             636.0000              0.1059              0.0719
             638.0000              0.1060              0.0720
             640.0000              0.1062              0.0721
             642.0000              0.1064              0.0722
             644.0000              0.1066              0.0723
             646.0000              0.1069              0.0724
             648.0000              0.1074              0.0725
             650.0000              0.1080              0.0726
             652.0000              0.1091              0.0728
             654.0000              0.1102              0.0729
             656.0000              0.1105              0.0731
             658.0000              0.1108              0.0733
             660.0000              0.1109              0.0735
             662.0000              0.1111              0.0737
