 ========================================================================
 Mesh information:
 Nx = 101
 Ny =  21
  
 Slab / Billet dimensions:
 X(m) =       1.0000
 Y(m) =       0.2000
                                                                         
                                                                         
 ========================================================================
              Time(s)   Thickness in X(m)   Thickness in Y(m)
             380.0000              0.0650              0.0531
             382.0000              0.0654              0.0536
             384.0000              0.0656              0.0543
             386.0000              0.0656              0.0550
             388.0000              0.0656              0.0552
             390.0000              0.0657              0.0553
             392.0000              0.0657              0.0554
             394.0000              0.0658              0.0555
             396.0000              0.0659              0.0556
             398.0000              0.0659              0.0556
             400.0000              0.0660              0.0556
             402.0000              0.0661              0.0556
             404.0000              0.0663              0.0557
             406.0000              0.0664              0.0557
             408.0000              0.0667              0.0557
             410.0000              0.0670              0.0557
             412.0000              0.0675              0.0558
             414.0000              0.0683              0.0558
             416.0000              0.0700              0.0558
             418.0000              0.0704              0.0559
             420.0000              0.0706              0.0559
             422.0000              0.0706              0.0559
             424.0000              0.0707              0.0560
             426.0000              0.0707              0.0560
             428.0000              0.0708              0.0561
             430.0000              0.0708              0.0561
             432.0000              0.0709              0.0562
             434.0000              0.0710              0.0562
             436.0000              0.0711              0.0563
             438.0000              0.0712              0.0564
             440.0000              0.0714              0.0564
             442.0000              0.0716              0.0565
             444.0000              0.0719              0.0567
             446.0000              0.0724              0.0568
             448.0000              0.0732              0.0569
             450.0000              0.0749              0.0571
             452.0000              0.0754              0.0573
             454.0000              0.0756              0.0575
             456.0000              0.0756              0.0578
             458.0000              0.0757              0.0582
             460.0000              0.0757              0.0587
             462.0000              0.0758              0.0593
             464.0000              0.0759              0.0600
             466.0000              0.0760              0.0602
             468.0000              0.0761              0.0603
             470.0000              0.0762              0.0604
             472.0000              0.0763              0.0605
             474.0000              0.0765              0.0606
             476.0000              0.0768              0.0606
             478.0000              0.0772              0.0607
             480.0000              0.0779              0.0607
             482.0000              0.0792              0.0607
             484.0000              0.0803              0.0607
             486.0000              0.0806              0.0607
             488.0000              0.0807              0.0608
             490.0000              0.0807              0.0608
             492.0000              0.0808              0.0608
             494.0000              0.0808              0.0609
             496.0000              0.0809              0.0609
             498.0000              0.0810              0.0609
             500.0000              0.0811              0.0610
             502.0000              0.0812              0.0610
             504.0000              0.0814              0.0611
             506.0000              0.0816              0.0611
             508.0000              0.0820              0.0612
             510.0000              0.0825              0.0612
             512.0000              0.0834              0.0613
             514.0000              0.0851              0.0613
             516.0000              0.0856              0.0614
             518.0000              0.0857              0.0615
             520.0000              0.0857              0.0616
             522.0000              0.0858              0.0617
             524.0000              0.0858              0.0618
             526.0000              0.0859              0.0620
             528.0000              0.0860              0.0622
             530.0000              0.0861              0.0624
             532.0000              0.0862              0.0626
             534.0000              0.0864              0.0629
             536.0000              0.0867              0.0633
             538.0000              0.0870              0.0638
             540.0000              0.0876              0.0645
             542.0000              0.0887              0.0651
             544.0000              0.0902              0.0652
             546.0000              0.0906              0.0653
             548.0000              0.0907              0.0654
             550.0000              0.0907              0.0656
             552.0000              0.0908              0.0657
             554.0000              0.0909              0.0657
             556.0000              0.0910              0.0657
             558.0000              0.0911              0.0657
             560.0000              0.0912              0.0657
             562.0000              0.0914              0.0658
             564.0000              0.0916              0.0658
             566.0000              0.0920              0.0658
             568.0000              0.0926              0.0658
             570.0000              0.0936              0.0659
             572.0000              0.0952              0.0659
             574.0000              0.0957              0.0660
             576.0000              0.0957              0.0660
             578.0000              0.0958              0.0660
             580.0000              0.0958              0.0661
             582.0000              0.0959              0.0661
             584.0000              0.0960              0.0662
             586.0000              0.0962              0.0662
             588.0000              0.0963              0.0663
             590.0000              0.0965              0.0664
             592.0000              0.0968              0.0665
             594.0000              0.0973              0.0665
             596.0000              0.0981              0.0667
             598.0000              0.0999              0.0668
             600.0000              0.1007              0.0669
             602.0000              0.1007              0.0671
             604.0000              0.1008              0.0672
             606.0000              0.1008              0.0674
             608.0000              0.1009              0.0677
             610.0000              0.1010              0.0680
             612.0000              0.1012              0.0684
             614.0000              0.1013              0.0689
             616.0000              0.1016              0.0696
             618.0000              0.1019              0.0701
             620.0000              0.1025              0.0702
             622.0000              0.1035              0.0703
             624.0000              0.1052              0.0705
             626.0000              0.1057              0.0706
             628.0000              0.1058              0.0707
             630.0000              0.1058              0.0707
             632.0000              0.1059              0.0707
             634.0000              0.1060              0.0708
             636.0000              0.1062              0.0708
             638.0000              0.1063              0.0708
             640.0000              0.1066              0.0709
             642.0000              0.1069              0.0709
             644.0000              0.1074              0.0709
             646.0000              0.1084              0.0710
             648.0000              0.1102              0.0710
             650.0000              0.1107              0.0710
             652.0000              0.1108              0.0711
             654.0000              0.1109              0.0711
             656.0000              0.1110              0.0712
             658.0000              0.1111              0.0712
             660.0000              0.1112              0.0713
             662.0000              0.1114              0.0714
             664.0000              0.1117              0.0715
             666.0000              0.1122              0.0715
             668.0000              0.1130              0.0716
             670.0000              0.1148              0.0718
             672.0000              0.1157              0.0719
             674.0000              0.1158              0.0720
             676.0000              0.1159              0.0722
             678.0000              0.1160              0.0724
             680.0000              0.1161              0.0727
             682.0000              0.1163              0.0730
             684.0000              0.1165              0.0734
             686.0000              0.1168              0.0739
             688.0000              0.1173              0.0745
             690.0000              0.1182              0.0751
             692.0000              0.1202              0.0752
             694.0000              0.1208              0.0754
             696.0000              0.1208              0.0755
             698.0000              0.1209              0.0756
             700.0000              0.1211              0.0758
             702.0000              0.1212              0.0758
             704.0000              0.1214              0.0758
             706.0000              0.1217              0.0758
             708.0000              0.1222              0.0759
             710.0000              0.1230              0.0759
             712.0000              0.1251              0.0759
             714.0000              0.1258              0.0760
             716.0000              0.1259              0.0760
             718.0000              0.1260              0.0760
             720.0000              0.1261              0.0761
             722.0000              0.1263              0.0761
             724.0000              0.1265              0.0762
             726.0000              0.1269              0.0763
             728.0000              0.1275              0.0763
             730.0000              0.1287              0.0764
             732.0000              0.1306              0.0765
             734.0000              0.1309              0.0766
             736.0000              0.1310              0.0767
             738.0000              0.1311              0.0768
             740.0000              0.1313              0.0770
             742.0000              0.1315              0.0771
             744.0000              0.1319              0.0773
             746.0000              0.1325              0.0775
             748.0000              0.1338              0.0778
             750.0000              0.1357              0.0781
             752.0000              0.1359              0.0786
             754.0000              0.1360              0.0791
             756.0000              0.1362              0.0799
             758.0000              0.1364              0.0801
             760.0000              0.1367              0.0803
             762.0000              0.1372              0.0805
             764.0000              0.1381              0.0806
             766.0000              0.1403              0.0808
             768.0000              0.1409              0.0808
             770.0000              0.1410              0.0809
             772.0000              0.1412              0.0809
             774.0000              0.1414              0.0809
             776.0000              0.1418              0.0810
             778.0000              0.1423              0.0810
             780.0000              0.1433              0.0811
             782.0000              0.1455              0.0811
             784.0000              0.1460              0.0812
             786.0000              0.1461              0.0812
